property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_stotsge,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
פרטי/קוטג',יד אליהו,אלון יגאל 50,3.0,0,75,140,0,12,,,0,"בית פרטי 3 חדרים 
חדר מאסטר ענקי + חדר גדול 
שופץ לאחרונה 
מחסן גדול בנוי ומואר
2 חצרות גדולות 
מיקום מרכזי ביותר - קרוב לתחבורה ציבורית +רכבת ההגנה/עזריאלי/היכל מנורה במרחק הליכה של חצי דקה 
שקט ומרווח
מתאים למשפחות
 75 מטר בנוי+ 140 מטר החצרות

*לא לשותפים*
*לא ליחידים*",0,0,0,0,0,0,0,0,0,0,8000.0,18,3.27
דירה,יד אליהו,פרזון 19,4.0,6,92,0,0,1,,,7,"דירת 4 חדרים חדשה מקבלן ועיצוב אדריכלי, קומה גבוהה עם נוף בפרויקט החדש בפרזון, יד אליהו.

92 מ""ר + 12 מ""ר מרפסת (דרום)
עם חנייה תת קרקעית ומחסן.

חדר ממ""ד, חדר מאסטר ועוד חדר ילדים, מטבח מאובזר במכשירי חשמל בילט-אין ברמה גבוהה, פרקט בכל הדירה, מקלחונים בחדרי הרחצה, גופי תאורה מיוחדים, חיבור למכונת כביסה, חיבור לגז במרפסת, מיזוג VRF 

אפשרות לכניסה מיידית",1,1,1,1,1,0,1,1,0,1,9100.0,10,5.51
דירה,רביבים,זאב רכטר 4,4.0,3,235,0,0,12,1150.0,400.0,5,"ווילה באוויר! נכס ייחודי Unique!!  120 מטר דירה + 2 מרפסות - אחת בגודל 100 מטר והשנייה בגודל 15 מטר -  הדירה שופצה מהיסוד לפני שנתיים, הכל חדש, מטבח, ריהוט, חדרי ילדים.  ריהוט מלא.  נוף אינסופי, דק איפאה מקורי, צמחיית גן מפוארת, אמבטיות חדשות",1,1,1,1,1,1,1,1,1,1,17000.0,10,9.73
דירה,יד אליהו,נגבה 13,4.0,5,106,0,0,12,600.0,,7,"להשכרה ללא תיווך!! ברח' נגבה 13 בתל אביב  דירת 4 חדרים בבניין חדש עם מרפסת שמש, נוף פתוח,חניה פרטית מקורה!! קומה 5 מתוך 7 עם מעלית. בסמוך לבניין נמצא פארק, בתי ספר, גנים, תחבורה ציבורית, מרכז מסחרי (מכולת, מאפייה, ירקנייה ועוד) גישה נוחה לאיילון. כניסה מיידית!  . לפרטים נוספים ותיאום מומלץ לשלוח הודעת וואטספ ונחזור אליכם לא בשבת! אביב/רחל/שאנה",1,0,1,1,1,0,1,1,0,0,8200.0,10,5.19
דירה,יד אליהו,גיבור האלמוני  26,4.0,2,110,0,0,12,400.0,250.0,5,"דירה 4 חדרים בלב תל אביב 
ריהוט: ספה ארונות מיטות פינת אוכל ופינת ישיבה למרפסת 
מכשירי חשמל תנור כיריים מקרוגל מכונת כביזה מייבש",1,0,1,1,1,0,0,1,0,0,78000.0,13,5.33
דירה,יד אליהו,משה דיין 63,3.0,0,70,0,0,12,300.0,250.0,5,"להשכרה דירת 3 חדרים מדהימה חדשה לגמרי בשכונת יד אליהו ברחוב משה דיין קרוב לפינת לגרדיה הדירה בקומת קרקע עם סורגים חדשים,  הדירה כוללת ממ""ד וחניה מקורה בטאבו , יש בדירה ארונות קיר בחדרים , מיזוג מרכזי , דוד שמש , כיריים, תנור, מקרר, מדיח כלים חדש, הדירה קרובה לגינות ירוקות , בתי ספר וגני ילדים ותחבורה ציבורית דקה מאיילון
הכניסה ב15/12/23 
מחיר מבוקש 6000שח",1,0,0,1,0,1,1,0,1,1,6000.0,8,5.17
דירה,רביבים,זאב רכטר,5.5,2,125,0,0,12,1100.0,430.0,3,"שתי חניות ושני מחסנים, מטבח גדול ומרווח עם מרפסת שירות, שני חדרי רחצה מלאים ושירותי אורחים. דירה נדירה ויוצאת דופן",1,1,1,1,1,0,1,0,0,1,10800.0,3,9.69
דירת גן,יד אליהו,אריה אלטמן,4.0,0,140,0,0,12,,,7,"להשכרה דירת גן 4 חדרים חדשה מקבלן !
 מפרט משודרג - מטבחי רגבה, פרקט בכל הבית,דאמפרים - מזגנים שליטה מכל חדר.

הנכס ממוקם בשכונה המבוקשת יד אליהו, גישה נוחה וישירה לנתיבי איילון ומרכז העיר תל אביב, בקרבת בתי ספר וגנים, נגישות לתחבורה ציבורית, מרחק הליכה קצר למרכז המסחרי בקצה הרחוב ובנוסף מרחק קצר למרכז המסחרי של בית גיל הזהב, איזור מצויין למגורים.",1,1,1,1,0,0,1,1,0,1,9200.0,10,5.47
דירה,רביבים,דב כרמי,4.0,5,117,0,0,1,,,7,"נכס מספר: 14266, ברחוב קטן ומבוקש !!דירה מרוווחת !!מרפסת שמש חניה ומחסן !! מושקעת !! 
ההשכרה לשנה בלבד עקב מכירה הדירה",1,1,1,0,1,0,1,1,0,1,9500.0,8,9.51
דירה,יד אליהו,"שדרות החי""ל 21",4.0,0,115,0,0,12,325.0,500.0,7,"להשכרה דירת גן עם תקרות גבוהות בפרויקט הכי נחשק של אקרו נדל""ן ביד אליהו !! מעוצבת אדריכלית ע''י גידי בר אוריין , יציאה מכל חדר לגינה ,פרטיות בכל חדר עם חדר רחצה אישי לכל יחידה !!פרקטים בחדרים כ-100 מ''ר בנוי + 30 גינה , ממ''ד ,מטבח משודרג הכולל מקומות ישיבת בר, כולל מרפסת ,לטווח ארוך כולל מחסן גדול וחניה צמודה למחסן !!",1,1,1,1,1,0,1,1,0,0,9000.0,11,4.93
